Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-26 13:07:04,2018-07-26 13:07:47,43.051s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-26 13:07:04,2018-07-26 13:07:17,12.310s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:07:05,2018-07-26 13:07:08,2.779s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:07:08,2018-07-26 13:07:12,4.843s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:12,2018-07-26 13:07:12,0.099s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:07:12,2018-07-26 13:07:13,0.096s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:07:13,2018-07-26 13:07:13,0.233s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:13,2018-07-26 13:07:15,2.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:15,2018-07-26 13:07:17,1.816s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-26 13:07:17,2018-07-26 13:07:47,29.811s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:07:17,2018-07-26 13:07:20,2.636s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:07:20,2018-07-26 13:07:24,4.723s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:24,2018-07-26 13:07:24,0.074s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-26 13:07:24,2018-07-26 13:07:36,11.455s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-26 13:07:36,2018-07-26 13:07:36,0.029s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:36,2018-07-26 13:07:37,1.576s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:37,2018-07-26 13:07:39,1.705s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:39,2018-07-26 13:07:40,1.375s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:40,2018-07-26 13:07:42,1.183s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:42,2018-07-26 13:07:42,0.079s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:42,2018-07-26 13:07:42,0.513s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:42,2018-07-26 13:07:46,3.931s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:46,2018-07-26 13:07:46,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:07:46,2018-07-26 13:07:47,0.313s,FAILED
